date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,Buster Keaton,Luis Bunuel,The Beatles,Fritz Lang,王家卫,Wes Anderson,Agatha Christie,The Stone Roses,Satoshi Kon,杨德昌,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Teenage Fanclub,李洪绸,落日飞车,Cigarettes After Sex,Summer Salt,Douglas Adams,Italo Calvino
2022-03-25,0,1,0,2,0,0,10,15,4,7,51,45,22,0,32,29,25,56,37,49,10,15,9,0,2,0,0,0,0,13
2022-03-26,0,0,1,0,1,0,15,5,1,9,48,40,32,0,28,38,28,63,51,30,14,28,15,0,1,0,0,0,1,14
2022-03-27,0,0,0,0,0,0,11,12,3,1,51,51,25,0,44,37,72,60,58,30,14,23,7,0,6,0,0,0,1,16
2022-03-28,0,0,0,0,0,0,13,7,2,4,28,35,19,0,26,22,18,27,43,38,10,15,8,0,1,0,1,0,0,4
2022-03-29,0,0,0,0,3,0,13,9,1,11,42,30,20,0,19,28,19,36,40,29,16,24,9,0,5,0,0,0,2,17
2022-03-30,1,0,0,0,1,0,8,10,1,3,33,39,21,0,29,35,12,39,41,34,12,19,19,0,0,0,0,0,1,13
2022-03-31,0,0,0,0,0,0,4,9,1,5,31,27,18,0,32,25,22,53,36,39,10,24,14,0,2,0,0,0,1,9
2022-04-01,0,0,0,0,1,0,1,10,0,8,64,28,25,0,43,37,19,39,36,40,13,20,7,0,0,0,0,0,2,18
2022-04-02,0,0,0,0,0,0,14,10,1,4,41,41,27,0,29,36,14,41,48,23,13,25,11,0,1,0,0,0,1,16
2022-04-03,0,0,0,0,1,0,11,13,1,5,46,46,31,0,37,40,24,47,57,43,12,30,12,0,3,0,0,0,0,14
2022-04-04,0,0,0,0,0,0,14,12,0,3,56,34,28,0,33,42,14,52,58,41,11,18,23,0,3,0,0,0,1,11
2022-04-05,0,0,0,0,0,0,13,11,0,6,40,34,16,0,39,42,19,41,73,31,15,23,13,0,0,2,0,0,0,7
2022-04-06,0,0,0,0,1,0,18,10,2,5,38,17,25,0,20,28,16,29,50,27,15,23,11,0,1,0,0,0,1,14
2022-04-07,0,0,0,0,0,0,13,13,3,4,39,26,22,0,28,39,12,34,56,33,14,16,10,0,4,0,0,0,0,12
2022-04-08,0,0,0,0,0,0,9,8,0,3,39,89,22,0,39,33,13,35,49,27,16,23,10,0,0,0,0,0,3,14
2022-04-09,0,0,0,0,0,0,12,14,0,4,41,90,29,0,33,23,24,36,57,41,20,23,11,0,1,0,0,0,2,18
2022-04-10,0,0,1,0,1,0,13,11,2,4,49,52,22,0,48,32,26,38,71,30,12,25,22,0,0,0,0,0,0,13
2022-04-11,0,0,0,0,0,0,9,16,1,4,45,28,15,0,31,30,12,37,44,44,14,23,21,0,2,0,0,0,1,29
2022-04-12,0,0,1,0,2,0,9,7,2,6,38,38,15,0,28,27,8,36,42,21,19,16,8,0,6,0,0,0,0,17
2022-04-13,0,0,0,0,0,0,5,11,0,11,25,35,23,0,23,28,16,35,45,30,13,17,5,0,4,0,0,0,0,20
2022-04-14,0,0,0,0,0,0,7,8,1,5,32,52,29,0,23,20,12,41,42,23,13,18,13,0,10,0,0,0,1,24
2022-04-15,0,0,0,0,0,0,8,14,1,7,38,48,15,0,37,24,11,42,65,35,13,20,15,0,22,0,1,0,2,11
2022-04-16,1,0,0,1,0,0,9,7,3,4,55,55,24,0,42,36,16,51,64,44,15,26,10,0,14,0,0,0,2,17
2022-04-17,0,0,0,0,0,0,8,12,1,5,43,45,21,0,31,39,22,42,47,22,17,33,11,0,10,0,0,0,0,16
2022-04-18,0,0,0,1,0,0,8,14,1,6,40,45,24,0,35,11,12,34,40,19,16,30,8,0,11,0,0,0,0,16
2022-04-19,0,0,0,0,0,0,14,10,1,10,40,35,23,0,25,33,15,38,42,32,7,25,3,0,9,0,0,0,3,15
2022-04-20,0,0,0,0,0,0,9,14,0,5,47,36,28,0,38,17,18,41,52,26,9,24,5,0,9,0,0,0,0,20
2022-04-21,0,1,0,0,0,0,8,17,0,6,38,39,26,0,31,32,20,37,47,25,8,16,8,0,7,0,0,0,0,15
2022-04-22,0,0,0,0,0,0,13,10,1,4,32,45,30,0,28,28,16,37,45,28,12,18,6,0,10,0,0,0,0,22
2022-04-23,0,1,0,0,0,0,3,22,0,4,38,39,25,0,42,30,15,34,49,35,11,22,9,0,8,0,0,0,1,21
2022-04-24,0,0,0,0,1,0,9,14,2,2,41,40,21,0,40,31,16,37,36,30,23,42,8,0,6,0,0,0,1,17
2022-04-25,0,0,0,0,2,0,12,13,4,6,34,37,14,0,22,23,18,23,39,33,8,28,11,0,5,0,0,0,0,19
2022-04-26,0,0,0,0,2,0,10,12,1,9,33,34,26,0,24,34,20,23,35,35,14,34,7,0,3,0,0,0,1,17
