date,哈罗德·劳埃德,查理·卓别林,雅克·塔蒂,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2022-07-10,0,0,0,7,6,5,35,30,20,53,43,15,30,43,24,6,18,2,1
2022-07-11,0,0,0,0,10,0,27,30,13,22,27,22,18,30,25,9,12,5,7
2022-07-12,0,0,0,6,11,3,29,20,8,30,34,11,30,33,29,4,21,9,3
2022-07-13,0,0,0,9,7,2,32,17,12,35,24,11,20,32,18,9,15,6,1
2022-07-14,0,0,0,9,12,3,35,26,10,26,22,10,30,35,21,18,21,7,1
2022-07-15,0,0,0,5,5,3,31,21,11,32,22,15,21,31,21,10,14,12,2
2022-07-16,0,0,0,5,10,3,59,30,24,33,22,13,28,35,28,16,24,7,2
2022-07-17,0,0,0,4,6,5,0,26,20,30,27,14,32,58,32,9,16,10,2
2022-07-18,0,0,0,10,4,4,51,26,22,21,20,23,25,35,22,11,11,12,0
2022-07-19,0,0,0,8,8,2,33,35,19,22,29,18,24,35,24,16,18,6,9
2022-07-20,0,0,0,6,8,1,26,19,20,22,33,16,23,30,20,10,21,4,0
2022-07-21,0,0,0,9,17,2,31,22,18,27,26,16,28,35,17,18,10,9,2
2022-07-22,0,0,0,6,10,0,35,31,22,17,32,19,30,49,18,9,16,2,3
2022-07-23,0,0,0,10,4,2,32,22,13,35,30,20,34,46,31,12,33,12,7
2022-07-24,0,0,0,14,13,4,35,0,17,31,35,14,28,54,25,10,13,6,2
2022-07-25,0,0,0,7,7,6,29,35,17,0,27,14,23,31,17,11,23,5,5
2022-07-26,0,0,0,4,2,5,34,24,24,35,33,9,23,60,31,10,18,6,1
2022-07-27,0,0,0,6,3,4,24,20,8,26,31,17,28,35,23,12,15,5,3
2022-07-28,0,0,0,6,7,3,26,24,16,30,35,18,26,35,20,13,14,7,3
2022-07-29,0,0,0,6,8,6,20,14,16,24,22,12,25,30,16,10,16,9,3
2022-07-30,0,0,0,6,10,5,35,32,13,34,35,16,25,63,31,15,22,8,4
2022-07-31,0,0,0,7,9,5,35,35,19,21,34,11,34,35,25,13,11,6,2
2022-08-01,0,0,0,9,7,3,34,62,19,24,31,12,27,34,19,13,14,5,1
2022-08-02,0,0,0,9,5,2,23,21,15,25,24,11,14,30,16,2,15,6,0
2022-08-03,0,0,0,4,11,6,24,16,16,25,17,11,30,33,19,6,17,24,5
2022-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-05,0,0,0,19,19,6,42,35,35,40,35,31,0,0,35,22,34,33,9
2022-08-06,0,0,0,5,8,4,22,27,13,55,29,22,35,0,33,17,18,13,5
